Tue Jun 20 13:19:33 2023    output.prof

         5276138 function calls (5274851 primitive calls) in 16.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      115    0.001    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1460(format_dict)
    43/28    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:624(_result_as_quantity)
      156    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2927(prod)
        2    0.000    0.000    0.002    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1279(close)
        5    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:1488(apply_method)
       54    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(any)
        3    0.000    0.000    0.002    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/builtin_frames/icrs_fk5_transforms.py:44(fk5_to_icrs)
       18    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(isposinf)
        5    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:993(_apply)
      147    0.001    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:854(to_value)
        5    0.001    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:356(_apply)
       21    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(moveaxis)
       19    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:691(__array_finalize__)
        6    0.001    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:264(find_shortest_path)
       11    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/base.py:102(array_for_new_object)
      221    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:697(<dictcomp>)
      210    0.001    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:1637(__setattr__)
      211    0.001    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate.py:822(_is_name)
       18    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(isneginf)
       18    0.001    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/ufunclike.py:127(isposinf)
        2    0.000    0.000    0.001    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:232(as_matrix)
        2    0.001    0.001    0.001    0.001 {method 'as_matrix' of 'scipy.spatial.transform._rotation.Rotation' objects}
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      679    0.001    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:233(__call__)
      102    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(copyto)
       22    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       21    0.000    0.000    0.001    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/numeric.py:1410(moveaxis)
